fieldmap_name:	BD-035
timestamp:	2017-04-03_11-51-47
filename:	2017-04-03_BD-035_Model09_Hall_I=991.63A.dat
nr_magnets:	1

magnet_name:	BD-035
gap[mm]:	28
control_gap:	--
magnet_length[mm]:	1206
current_main[A]:	991.63
NI_main[A.esp]:	11899.56
center_pos_z[mm]:	0
center_pos_x[mm]:	0
rotation[deg]:	0

X[mm]	Y[mm]	Z[mm]	Bx, By, Bz [T]
-50.000	0.000	-735.500	3.3923288341e-04, -5.2039536168e-03, 1.2318942614e-04
-48.000	0.000	-735.500	3.2169582185e-04, -5.3079030263e-03, 1.2991686024e-04
-46.000	0.000	-735.500	3.0406755716e-04, -5.4112284497e-03, 1.3562425686e-04
-44.000	0.000	-735.500	2.8722289498e-04, -5.5109306676e-03, 1.4102249512e-04
-42.000	0.000	-735.500	2.6811862839e-04, -5.6080830850e-03, 1.4683356161e-04
-40.000	0.000	-735.500	2.4982402236e-04, -5.7030812644e-03, 1.5228548605e-04
-38.000	0.000	-735.500	2.3175090968e-04, -5.7947979451e-03, 1.5632305726e-04
-36.000	0.000	-735.500	2.1202497269e-04, -5.8832925544e-03, 1.6085306035e-04
-34.000	0.000	-735.500	1.9357401842e-04, -5.9687062320e-03, 1.6491654902e-04
-32.000	0.000	-735.500	1.7473963868e-04, -6.0507381275e-03, 1.6804145512e-04
-30.000	0.000	-735.500	1.5615839420e-04, -6.1293529558e-03, 1.7134963474e-04
-28.000	0.000	-735.500	1.3788798493e-04, -6.2034735981e-03, 1.7444677212e-04
-26.000	0.000	-735.500	1.1811737701e-04, -6.2738206098e-03, 1.7590370405e-04
-24.000	0.000	-735.500	9.9999593398e-05, -6.3396715783e-03, 1.7877869171e-04
-22.000	0.000	-735.500	8.1684513194e-05, -6.4025697551e-03, 1.8007641634e-04
-20.000	0.000	-735.500	6.4145590353e-05, -6.4594564938e-03, 1.8087245284e-04
-18.000	0.000	-735.500	4.6416816070e-05, -6.5128444530e-03, 1.8107979259e-04
-16.000	0.000	-735.500	2.9199896163e-05, -6.5616045147e-03, 1.8139450469e-04
-14.000	0.000	-735.500	1.2746104597e-05, -6.6042974253e-03, 1.8253672452e-04
