fieldmap_name:     	BD-006
timestamp:         	2017-03-14_08-00-00
filename:          	2017-03-14_BD-006_Model09_Hall_I=996.5A_4.dat
nr_magnets:        	1

magnet_name:       	BD-006
gap[mm]:           	28
control_gap[mm]:   	--
magnet_length[mm]: 	1206
current_main[A]:   	996.5
NI_main[A.esp]:   	11958
center_pos_z[mm]: 	0
center_pos_x[mm]: 	0
rotation[deg]:    	0

X[mm]	Y[mm]	Z[mm]	Bx  By  Bz [T]
-8.000	0.000	-737.500	1.1901824071e-04  -6.0320538274e-03  -3.9995465797e-04
-6.000	0.000	-737.500	1.1972553039e-04  -6.0547698952e-03  -4.0108021656e-04
-4.000	0.000	-737.500	1.1966038529e-04  -6.0699628441e-03  -4.0204841910e-04
-2.000	0.000	-737.500	1.2024669121e-04  -6.0826932761e-03  -4.0304624160e-04
0.000	0.000	-737.500	1.2084974873e-04  -6.0902925362e-03  -4.0429213130e-04
2.000	0.000	-737.500	1.2067478760e-04  -6.0930280469e-03  -4.0531031753e-04
4.000	0.000	-737.500	1.2070642950e-04  -6.0917299329e-03  -4.0629147880e-04
6.000	0.000	-737.500	1.2105449048e-04  -6.0843498108e-03  -4.0571574077e-04
8.000	0.000	-737.500	1.2132623862e-04  -6.0735024799e-03  -4.0531031753e-04
10.000	0.000	-737.500	1.2052774579e-04  -6.0574626926e-03  -4.0460314091e-04
12.000	0.000	-737.500	1.2018526868e-04  -6.0377031308e-03  -4.0365159960e-04
14.000	0.000	-737.500	1.1812109958e-04  -6.0138226602e-03  -4.0217060145e-04
16.000	0.000	-737.500	1.1844310252e-04  -5.9852455796e-03  -4.0041376739e-04
18.000	0.000	-737.500	1.1597503378e-04  -5.9522727392e-03  -3.9859769341e-04
20.000	0.000	-737.500	1.1431476432e-04  -5.9159069741e-03  -3.9692416550e-04
22.000	0.000	-737.500	1.1234365965e-04  -5.8747238872e-03  -3.9439536116e-04
24.000	0.000	-737.500	1.0902312072e-04  -5.8304784397e-03  -3.9155554721e-04
26.000	0.000	-737.500	1.0680260337e-04  -5.7825280743e-03  -3.8840102115e-04
28.000	0.000	-737.500	1.0282875213e-04  -5.7313742085e-03  -3.8488735303e-04
30.000	0.000	-737.500	9.7123902451e-05  -5.6760882914e-03  -3.8201977037e-04
32.000	0.000	-737.500	9.1301791590e-05  -5.6183064297e-03  -3.7766563580e-04
34.000	0.000	-737.500	8.5567161294e-05  -5.5572876398e-03  -3.7355771719e-04
36.000	0.000	-737.500	7.9290896005e-05  -5.4934181988e-03  -3.6912212773e-04
38.000	0.000	-737.500	7.1184983984e-05  -5.4272738082e-03  -3.6547702103e-04
40.000	0.000	-737.500	6.3602094070e-05  -5.3581134845e-03  -3.5962152459e-04
42.000	0.000	-737.500	5.5079253394e-05  -5.2871499150e-03  -3.5533218370e-04
44.000	0.000	-737.500	4.4646730574e-05  -5.2128287058e-03  -3.4942670357e-04
46.000	0.000	-737.500	3.3732133998e-05  -5.1379503660e-03  -3.4438020238e-04
48.000	0.000	-737.500	2.1907367276e-05  -5.0602622314e-03  -3.3955770215e-04
50.000	0.000	-737.500	9.5446881388e-06  -4.9810995580e-03  -3.3364666828e-04
-50.000	0.000	-735.500	1.4077112103e-04  -4.9689708269e-03  -3.6648965351e-04
-48.000	0.000	-735.500	1.3885399373e-04  -5.0724002479e-03  -3.6978302315e-04
-46.000	0.000	-735.500	1.3700015025e-04  -5.1734080084e-03  -3.7423712509e-04
-44.000	0.000	-735.500	1.3508488424e-04  -5.2727480915e-03  -3.7752308973e-04
-42.000	0.000	-735.500	1.3435712038e-04  -5.3687769623e-03  -3.8104231159e-04
-40.000	0.000	-735.500	1.3209379339e-04  -5.4625568830e-03  -3.8398949791e-04
-38.000	0.000	-735.500	1.3181832268e-04  -5.5538111454e-03  -3.8745133108e-04
-36.000	0.000	-735.500	1.2980254708e-04  -5.6413530616e-03  -3.9133895123e-04
-34.000	0.000	-735.500	1.2909711869e-04  -5.7255466234e-03  -3.9486557807e-04
-32.000	0.000	-735.500	1.2787983592e-04  -5.8074466646e-03  -3.9787755806e-04
-30.000	0.000	-735.500	1.2723769134e-04  -5.8848079494e-03  -4.0202435288e-04
-28.000	0.000	-735.500	1.2613208588e-04  -5.9592350134e-03  -4.0498264669e-04
-26.000	0.000	-735.500	1.2626051480e-04  -6.0294854558e-03  -4.0798537044e-04
-24.000	0.000	-735.500	1.2530381244e-04  -6.0951247147e-03  -4.1105103661e-04
-22.000	0.000	-735.500	1.2573563140e-04  -6.1566802071e-03  -4.1415928147e-04
-20.000	0.000	-735.500	1.2447367771e-04  -6.2142782157e-03  -4.1739155994e-04
-18.000	0.000	-735.500	1.2481243224e-04  -6.2663959173e-03  -4.2004439787e-04
-16.000	0.000	-735.500	1.2548994130e-04  -6.3141568583e-03  -4.2304527038e-04
-14.000	0.000	-735.500	1.2618978583e-04  -6.3574458985e-03  -4.2523714764e-04
-12.000	0.000	-735.500	1.2754108138e-04  -6.3960717564e-03  -4.2710505656e-04
-10.000	0.000	-735.500	1.2759133618e-04  -6.4292748773e-03  -4.2909144532e-04
-8.000	0.000	-735.500	1.2807527122e-04  -6.4575826782e-03  -4.3107413160e-04
-6.000	0.000	-735.500	1.2960897306e-04  -6.4814594346e-03  -4.3250329481e-04
-4.000	0.000	-735.500	1.2994958888e-04  -6.4981882065e-03  -4.3373067203e-04
-2.000	0.000	-735.500	1.3083742356e-04  -6.5111303481e-03  -4.3483956940e-04
0.000	0.000	-735.500	1.3229295128e-04  -6.5189283181e-03  -4.3626132762e-04
2.000	0.000	-735.500	1.3261123164e-04  -6.5214725474e-03  -4.3720546394e-04
4.000	0.000	-735.500	1.3338180513e-04  -6.5193443089e-03  -4.3836249375e-04
6.000	0.000	-735.500	1.3433850749e-04  -6.5110337788e-03  -4.3774602827e-04
8.000	0.000	-735.500	1.3490061666e-04  -6.4985057709e-03  -4.3736281999e-04
10.000	0.000	-735.500	1.3472379424e-04  -6.4806794519e-03  -4.3702033917e-04
12.000	0.000	-735.500	1.3494714888e-04  -6.4586430833e-03  -4.3554489476e-04
14.000	0.000	-735.500	1.3342647606e-04  -6.4317095376e-03  -4.3424531889e-04
16.000	0.000	-735.500	1.3409281739e-04  -6.4006680830e-03  -4.3184980438e-04
18.000	0.000	-735.500	1.3238043184e-04  -6.3643598881e-03  -4.3016146649e-04
20.000	0.000	-735.500	1.3094910088e-04  -6.3240162111e-03  -4.2799920919e-04
22.000	0.000	-735.500	1.2912131544e-04  -6.2786119321e-03  -4.2523529639e-04
24.000	0.000	-735.500	1.2585289259e-04  -6.2301415783e-03  -4.2228070508e-04
26.000	0.000	-735.500	1.2435455523e-04  -6.1771974664e-03  -4.1858931719e-04
28.000	0.000	-735.500	1.2063942311e-04  -6.1211724229e-03  -4.1502936789e-04
30.000	0.000	-735.500	1.1499413467e-04  -6.0606383365e-03  -4.1138426119e-04
32.000	0.000	-735.500	1.0892819500e-04  -5.9978218722e-03  -4.0657842219e-04
34.000	0.000	-735.500	1.0339830645e-04  -5.9303087976e-03  -4.0206693158e-04
36.000	0.000	-735.500	9.7263499099e-05  -5.8606470565e-03  -3.9680568565e-04
38.000	0.000	-735.500	8.9146419346e-05  -5.7885989397e-03  -3.9285697433e-04
40.000	0.000	-735.500	8.0997697687e-05  -5.7127623354e-03  -3.8588147304e-04
42.000	0.000	-735.500	7.2363179692e-05  -5.6353899081e-03  -3.8105897282e-04
44.000	0.000	-735.500	6.1655186154e-05  -5.5544518455e-03  -3.7492578923e-04
46.000	0.000	-735.500	5.0457673704e-05  -5.4727003724e-03  -3.6846863729e-04
48.000	0.000	-735.500	3.8162000957e-05  -5.3881781036e-03  -3.6283343933e-04
50.000	0.000	-735.500	2.5438231824e-05  -5.3018191612e-03  -3.5649291600e-04
-50.000	0.000	-733.500	1.4087163061e-04  -5.3067441949e-03  -3.8965431583e-04
-48.000	0.000	-733.500	1.3914249347e-04  -5.4184934314e-03  -3.9376963944e-04
-46.000	0.000	-733.500	1.3812995245e-04  -5.5277950080e-03  -3.9880688440e-04
-44.000	0.000	-733.500	1.3615884778e-04  -5.6351633417e-03  -4.0268154581e-04
-42.000	0.000	-733.500	1.3529707114e-04  -5.7389511833e-03  -4.0672467076e-04
-40.000	0.000	-733.500	1.3415051734e-04  -5.8403805058e-03  -4.1035496748e-04
-38.000	0.000	-733.500	1.3392530141e-04  -5.9392451709e-03  -4.1463505213e-04
-36.000	0.000	-733.500	1.3259448004e-04  -6.0342062083e-03  -4.1874482200e-04
-34.000	0.000	-733.500	1.3217941267e-04  -6.1254753275e-03  -4.2300084043e-04
-32.000	0.000	-733.500	1.3118176196e-04  -6.2139030812e-03  -4.2676442698e-04
-30.000	0.000	-733.500	1.3115942650e-04  -6.2977456508e-03  -4.3149066233e-04
