nMed	DataHora	Tensao
468	14/03/2017 19:25:35	9.902934
469	14/03/2017 19:25:36	9.903958
470	14/03/2017 19:25:38	9.904579
471	14/03/2017 19:25:39	9.909911
472	14/03/2017 19:25:41	9.904124
473	14/03/2017 19:25:42	9.905084
474	14/03/2017 19:25:44	9.907758
475	14/03/2017 19:25:45	9.907681
476	14/03/2017 19:25:47	9.907082
477	14/03/2017 19:25:48	9.904671
478	14/03/2017 19:25:50	9.904560
479	14/03/2017 19:25:51	9.903642
480	14/03/2017 19:25:53	9.904729
481	14/03/2017 19:25:54	9.902616
482	14/03/2017 19:25:56	9.904751
483	14/03/2017 19:25:58	9.903780
484	14/03/2017 19:25:59	9.904480
485	14/03/2017 19:26:01	9.905544
486	14/03/2017 19:26:02	9.906305
487	14/03/2017 19:26:04	9.907249
488	14/03/2017 19:26:05	9.906553
489	14/03/2017 19:26:07	9.904689
490	14/03/2017 19:26:08	9.905323
491	14/03/2017 19:26:10	9.905419
492	14/03/2017 19:26:11	9.905355
493	14/03/2017 19:26:13	9.903002
494	14/03/2017 19:26:14	9.903501
495	14/03/2017 19:26:16	9.903606
496	14/03/2017 19:26:17	9.904662
497	14/03/2017 19:26:19	9.907097
498	14/03/2017 19:26:20	9.906855
499	14/03/2017 19:26:22	9.905489
500	14/03/2017 19:26:23	9.912076
501	14/03/2017 19:26:25	9.904647
502	14/03/2017 19:26:26	9.905416
503	14/03/2017 19:26:28	9.907558
504	14/03/2017 19:26:29	9.906776
505	14/03/2017 19:26:31	9.906299
506	14/03/2017 19:26:33	9.903806
507	14/03/2017 19:26:34	9.903759
508	14/03/2017 19:26:36	9.902520
509	14/03/2017 19:26:37	9.905195
510	14/03/2017 19:26:39	9.906287
511	14/03/2017 19:26:40	9.905933
512	14/03/2017 19:26:42	9.904456
513	14/03/2017 19:26:43	9.905010
514	14/03/2017 19:26:45	9.906367
515	14/03/2017 19:26:46	9.907561
516	14/03/2017 19:26:48	9.905624
517	14/03/2017 19:26:49	9.905156
518	14/03/2017 19:26:51	9.903652
519	14/03/2017 19:26:52	9.904761
520	14/03/2017 19:26:54	9.905218
521	14/03/2017 19:26:55	9.906613
522	14/03/2017 19:26:57	9.905357
523	14/03/2017 19:26:59	9.912695
524	14/03/2017 19:27:00	9.904486
525	14/03/2017 19:27:02	9.905404
526	14/03/2017 19:27:03	9.907816
527	14/03/2017 19:27:05	9.907288
528	14/03/2017 19:27:06	9.906731
529	14/03/2017 19:27:08	9.904206
530	14/03/2017 19:27:09	9.903973
531	14/03/2017 19:27:11	9.901472
532	14/03/2017 19:27:12	9.904144
533	14/03/2017 19:27:14	9.906026
534	14/03/2017 19:27:15	9.905766
535	14/03/2017 19:27:17	9.904342
536	14/03/2017 19:27:18	9.904995
537	14/03/2017 19:27:20	9.906291
538	14/03/2017 19:27:21	9.907797
539	14/03/2017 19:27:23	9.906732
540	14/03/2017 19:27:25	9.905998
541	14/03/2017 19:27:26	9.904113
542	14/03/2017 19:27:28	9.904834
543	14/03/2017 19:27:29	9.904078
544	14/03/2017 19:27:31	9.905448
545	14/03/2017 19:27:32	9.905472
546	14/03/2017 19:27:34	9.912923
547	14/03/2017 19:27:35	9.904432
548	14/03/2017 19:27:37	9.905365
549	14/03/2017 19:27:38	9.907950
550	14/03/2017 19:27:40	9.907679
551	14/03/2017 19:27:41	9.906999
552	14/03/2017 19:27:43	9.904423
553	14/03/2017 19:27:44	9.904162
554	14/03/2017 19:27:46	9.901260
555	14/03/2017 19:27:47	9.903405
556	14/03/2017 19:27:49	9.904978
557	14/03/2017 19:27:51	9.906182
558	14/03/2017 19:27:52	9.904165
559	14/03/2017 19:27:54	9.904696
560	14/03/2017 19:27:55	9.906137
561	14/03/2017 19:27:57	9.907680
562	14/03/2017 19:27:58	9.907408
563	14/03/2017 19:28:00	9.906365
564	14/03/2017 19:28:01	9.904428
565	14/03/2017 19:28:03	9.905166
566	14/03/2017 19:28:04	9.902909
567	14/03/2017 19:28:06	9.903404
568	14/03/2017 19:28:07	9.904254
569	14/03/2017 19:28:09	9.910246
570	14/03/2017 19:28:10	9.904092
571	14/03/2017 19:28:12	9.905179
572	14/03/2017 19:28:13	9.907889
573	14/03/2017 19:28:15	9.907789
574	14/03/2017 19:28:16	9.907153
575	14/03/2017 19:28:18	9.904701
576	14/03/2017 19:28:20	9.904570
577	14/03/2017 19:28:21	9.903285
578	14/03/2017 19:28:23	9.903828
579	14/03/2017 19:28:24	9.903009
580	14/03/2017 19:28:26	9.905426
581	14/03/2017 19:28:27	9.903971
582	14/03/2017 19:28:29	9.904495
583	14/03/2017 19:28:30	9.905732
584	14/03/2017 19:28:32	9.906785
585	14/03/2017 19:28:33	9.907440
586	14/03/2017 19:28:35	9.906639
587	14/03/2017 19:28:36	9.904729
588	14/03/2017 19:28:38	9.905336
589	14/03/2017 19:28:39	9.904895
590	14/03/2017 19:28:41	9.904230
591	14/03/2017 19:28:42	9.902843
592	14/03/2017 19:28:44	9.904731
593	14/03/2017 19:28:46	9.903770
594	14/03/2017 19:28:47	9.904903
595	14/03/2017 19:28:49	9.907514
596	14/03/2017 19:28:50	9.907004
597	14/03/2017 19:28:52	9.906471
598	14/03/2017 19:28:53	9.911548
599	14/03/2017 19:28:55	9.904784
600	14/03/2017 19:28:56	9.905316
601	14/03/2017 19:28:58	9.907055
602	14/03/2017 19:28:59	9.905117
603	14/03/2017 19:29:01	9.905162
604	14/03/2017 19:29:02	9.903707
605	14/03/2017 19:29:04	9.903926
606	14/03/2017 19:29:05	9.904443
607	14/03/2017 19:29:07	9.905592
608	14/03/2017 19:29:08	9.906345
609	14/03/2017 19:29:10	9.906106
610	14/03/2017 19:29:11	9.904555
611	14/03/2017 19:29:13	9.905255
612	14/03/2017 19:29:15	9.906256
613	14/03/2017 19:29:16	9.907043
614	14/03/2017 19:29:18	9.905356
615	14/03/2017 19:29:19	9.905043
616	14/03/2017 19:29:21	9.903679
617	14/03/2017 19:29:22	9.904769
618	14/03/2017 19:29:24	9.905888
619	14/03/2017 19:29:25	9.906830
620	14/03/2017 19:29:27	9.905376
621	14/03/2017 19:29:28	9.912510
622	14/03/2017 19:29:30	9.904718
623	14/03/2017 19:29:31	9.905501
624	14/03/2017 19:29:33	9.907794
625	14/03/2017 19:29:34	9.907078
626	14/03/2017 19:29:36	9.906511
627	14/03/2017 19:29:37	9.903997
628	14/03/2017 19:29:39	9.903899
629	14/03/2017 19:29:41	9.902277
630	14/03/2017 19:29:42	9.904539
631	14/03/2017 19:29:44	9.906116
632	14/03/2017 19:29:45	9.906338
633	14/03/2017 19:29:47	9.904392
634	14/03/2017 19:29:48	9.905250
635	14/03/2017 19:29:50	9.906432
636	14/03/2017 19:29:51	9.907069
637	14/03/2017 19:29:53	9.905126
638	14/03/2017 19:29:54	9.904861
639	14/03/2017 19:29:56	9.903718
640	14/03/2017 19:29:57	9.904769
641	14/03/2017 19:29:59	9.905260
642	14/03/2017 19:30:00	9.906429
643	14/03/2017 19:30:02	9.905467
644	14/03/2017 19:30:04	9.913191
645	14/03/2017 19:30:05	9.904692
646	14/03/2017 19:30:07	9.905516
647	14/03/2017 19:30:08	9.907656
648	14/03/2017 19:30:10	9.906981
649	14/03/2017 19:30:11	9.906515
650	14/03/2017 19:30:13	9.904112
651	14/03/2017 19:30:14	9.903913
652	14/03/2017 19:30:16	9.902115
653	14/03/2017 19:30:17	9.904636
654	14/03/2017 19:30:19	9.906247
655	14/03/2017 19:30:20	9.906066
656	14/03/2017 19:30:22	9.904369
657	14/03/2017 19:30:23	9.905135
658	14/03/2017 19:30:25	9.906315
659	14/03/2017 19:30:27	9.907868
660	14/03/2017 19:30:28	9.906908
661	14/03/2017 19:30:30	9.906095
662	14/03/2017 19:30:31	9.904185
663	14/03/2017 19:30:33	9.904927
664	14/03/2017 19:30:34	9.904167
665	14/03/2017 19:30:36	9.905512
666	14/03/2017 19:30:37	9.905337
667	14/03/2017 19:30:39	9.912109
668	14/03/2017 19:30:40	9.904462
669	14/03/2017 19:30:42	9.905374
670	14/03/2017 19:30:43	9.908013
671	14/03/2017 19:30:45	9.907895
672	14/03/2017 19:30:46	9.907103
673	14/03/2017 19:30:48	9.904563
674	14/03/2017 19:30:50	9.904362
675	14/03/2017 19:30:51	9.901396
676	14/03/2017 19:30:53	9.903453
677	14/03/2017 19:30:54	9.904469
678	14/03/2017 19:30:56	9.906018
679	14/03/2017 19:30:57	9.904173
680	14/03/2017 19:30:59	9.904774
681	14/03/2017 19:31:00	9.906080
682	14/03/2017 19:31:02	9.907557
683	14/03/2017 19:31:03	9.907608
684	14/03/2017 19:31:05	9.906667
685	14/03/2017 19:31:06	9.904653
686	14/03/2017 19:31:08	9.905278
687	14/03/2017 19:31:09	9.903867
688	14/03/2017 19:31:11	9.903056
689	14/03/2017 19:31:12	9.902923
690	14/03/2017 19:31:14	9.907156
691	14/03/2017 19:31:16	9.904240
692	14/03/2017 19:31:17	9.905264
693	14/03/2017 19:31:19	9.907963
694	14/03/2017 19:31:20	9.907860
695	14/03/2017 19:31:22	9.907273
696	14/03/2017 19:31:23	9.904807
