X[mm]	Y[mm]	Z[mm]	Bx, By, Bz [T]
-24.000	0.000	-733.500	-6.2098172850e-05, -6.3656097175e-03, 3.6440329737e-04
-22.000	0.000	-733.500	-8.5310303462e-05, -6.4307159882e-03, 3.6275013318e-04
-20.000	0.000	-733.500	-1.0674118085e-04, -6.4901952409e-03, 3.6178378189e-04
-18.000	0.000	-733.500	-1.2793753586e-04, -6.5452694483e-03, 3.5887362053e-04
-16.000	0.000	-733.500	-1.4898684908e-04, -6.5960667506e-03, 3.5548583726e-04
-14.000	0.000	-733.500	-1.6797199319e-04, -6.6411070377e-03, 3.5165005205e-04
-12.000	0.000	-733.500	-1.8565051268e-04, -6.6823384092e-03, 3.4706451152e-04
-10.000	0.000	-733.500	-2.0296421960e-04, -6.7173373475e-03, 3.4252525219e-04
-8.000	0.000	-733.500	-2.2167389299e-04, -6.7472348274e-03, 3.3679378935e-04
-6.000	0.000	-733.500	-2.3772564621e-04, -6.7729129724e-03, 3.3114748390e-04
-4.000	0.000	-733.500	-2.5253033604e-04, -6.7910642842e-03, 3.2460332333e-04
-2.000	0.000	-733.500	-2.6807954133e-04, -6.8051188297e-03, 3.1784071552e-04
0.000	0.000	-733.500	-2.8138775510e-04, -6.8143319112e-03, 3.1059678332e-04
2.000	0.000	-733.500	-2.9415991774e-04, -6.8180591143e-03, 3.0343800851e-04
4.000	0.000	-733.500	-3.0525133673e-04, -6.8151211794e-03, 2.9498336032e-04
6.000	0.000	-733.500	-3.1762890618e-04, -6.8081124777e-03, 2.8750431966e-04
8.000	0.000	-733.500	-3.2660031742e-04, -6.7952947619e-03, 2.7824993247e-04
10.000	0.000	-733.500	-3.3585650582e-04, -6.7779067188e-03, 2.6916215757e-04
12.000	0.000	-733.500	-3.4514061355e-04, -6.7544440962e-03, 2.6034096234e-04
14.000	0.000	-733.500	-3.5345498990e-04, -6.7266024278e-03, 2.5115507131e-04
16.000	0.000	-733.500	-3.6050368997e-04, -6.6941792895e-03, 2.4164891444e-04
18.000	0.000	-733.500	-3.6680973588e-04, -6.6571616817e-03, 2.3349787087e-04
20.000	0.000	-733.500	-3.7373000704e-04, -6.6153824652e-03, 2.2257550951e-04
22.000	0.000	-733.500	-3.7808356116e-04, -6.5682027970e-03, 2.1330075859e-04
24.000	0.000	-733.500	-3.8372326574e-04, -6.5182671899e-03, 2.0409265259e-04
26.000	0.000	-733.500	-3.8834670671e-04, -6.4637575413e-03, 1.9405889012e-04
28.000	0.000	-733.500	-3.9371466315e-04, -6.4043451444e-03, 1.8461567567e-04
30.000	0.000	-733.500	-3.9881459402e-04, -6.3418165308e-03, 1.7494660900e-04
32.000	0.000	-733.500	-4.0357763164e-04, -6.2751707227e-03, 1.6644938211e-04
34.000	0.000	-733.500	-4.0772458273e-04, -6.2057541190e-03, 1.5672477800e-04
